Wavelength,S0,S1,S2
300,0.04,0.02,0.0
310,6.00,4.50,2.0
320,29.60,22.40,4.0
330,55.30,42.00,8.5
340,57.30,40.60,7.8
350,61.80,41.60,6.7
360,61.50,38.00,5.3
370,68.80,42.40,6.1
380,63.40,38.50,3.0
390,65.80,35.00,1.2
400,94.80,43.40,-1.1
410,104.80,46.30,-0.5
420,105.90,43.90,-0.7
430,96.80,37.10,-1.2
440,113.90,36.70,-2.6
450,125.60,35.90,-2.9
460,125.50,32.60,-2.8
470,121.30,27.90,-2.6
480,121.30,24.30,-2.6
490,113.50,20.10,-1.8
500,113.10,16.20,-1.5
510,110.80,13.20,-1.3
520,106.50,8.60,-1.2
530,108.80,6.10,-1.0
540,105.30,4.20,-0.5
550,104.40,1.90,-0.3
560,100.00,0.00,0.0
570,96.00,-1.60,0.2
580,95.10,-3.50,0.5
590,89.10,-3.50,2.1
600,90.50,-5.80,3.2
610,90.30,-7.20,4.1
620,88.40,-8.60,4.7
630,84.00,-9.50,5.1
640,85.10,-10.90,6.7
650,81.90,-10.70,7.3
660,82.60,-12.00,8.6
670,84.90,-14.00,9.8
680,81.30,-13.60,10.2
690,71.90,-12.00,8.3
700,74.30,-13.30,9.6
710,76.40,-12.90,8.5
720,63.30,-10.60,7.0
730,71.70,-11.60,7.6
740,77.00,-12.20,8.0
750,65.20,-10.20,6.7
760,47.70,-7.80,5.2
770,68.60,-11.20,7.4
780,65.00,-10.40,6.8
790,66.00,-10.60,7.0
800,61.00,-9.70,6.4
810,53.30,-8.30,5.5
820,58.90,-9.30,6.1
830,61.90,-9.80,6.5
