360 0,000 129 900 0 0,000 003 917 000 0,000 606 100 0 0,175 56 0,005 29 0,819 15
61 0,000 145 847 0 0,000 004 393 581 0,000 680 879 2 0,175 48 0,005 29 0,819 23
62 0,000 163 802 1 0,000 004 929 604 0,000 765 145 6 0,175 40 0,005 28 0,819 32
63 0,000 184 003 7 0,000 005 532 136 0,000 860 012 4 0,175 32 0,005 27 0,819 41
64 0,000 206 690 2 0,000 006 208 245 0,000 966 592 8 0,175 24 0,005 26 0,819 50
365 0,000 232 100 0 0,000 006 965 000 0,001 086 000 0,175 16 0,005 26 0,819 58
66 0,000 260 728 0 0,000 007 813 219 0,001 220 586 0,175 09 0,005 25 0,819 66
67 0,000 293 075 0 0,000 008 767 336 0,001 372 729 0,175 01 0,005 24 0,819 75
68 0,000 329 388 0 0,000 009 839 844 0,001 543 579 0,174 94 0,005 23 0,819 83
69 0,000 369 914 0 0,000 011 043 23 0,001 734 286 0,174 88 0,005 22 0,819 90
370 0,000 414 900 0 0,000 012 390 00 0,001 946 000 0,174 82 0,005 22 0,819 96
71 0,000 464 158 7 0,000 013 886 41 0,002 177 777 0,174 77 0,005 23 0,820 00
72 0,000 518 986 0 0,000 015 557 28 0,002 435 809 0,174 72 0,005 24 0,820 04
73 0,000 581 854 0 0,000 017 442 96 0,002 731 953 0,174 66 0,005 24 0,820 10
74 0,000 655 234 7 0,000 019 583 75 0,003 078 064 0,174 59 0,005 22 0,820 19
375 0,000 741 600 0 0,000 022 020 00 0,003 486 000 0,174 51 0,005 18 0,820 31
76 0,000 845 029 6 0,000 024 839 65 0,003 975 227 0,174 41 0,005 13 0,820 46
77 0,000 964 526 8 0,000 028 041 26 0,004 540 880 0,174 31 0,005 07 0,820 62
78 0,001 094 949 0,000 031 531 04 0,005 158 320 0,174 22 0,005 02 0,820 76
79 0,001 231 154 0,000 035 215 21 0,005 802 907 0,174 16 0,004 98 0,820 86
380 0,001 368 000 0,000 039 000 00 0,006 450 001 0,174 11 0,004 96 0,820 93
81 0,001 502 050 0,000 042 826 40 0,007 083 216 0,174 09 0,004 96 0,820 95
82 0,001 642 328 0,000 046 914 60 0,007 745 488 0,174 07 0,004 97 0,820 96
83 0,001 802 382 0,000 051 589 60 0,008 501 152 0,174 06 0,004 98 0,820 96
84 0,001 995 757 0,000 057 176 40 0,009 414 544 0,174 04 0,004 98 0,820 98
385 0,002 236 000 0,000 064 000 00 0,010 549 99 0,174 01 0,004 98 0,821 01
86 0,002 535 385 0,000 072 344 21 0,011 965 80 0,173 97 0,004 97 0,821 06
87 0,002 892 603 0,000 082 212 24 0,013 655 87 0,173 93 0,004 94 0,821 13
88 0,003 300 829 0,000 093 508 16 0,015 588 05 0,173 89 0,004 93 0,821 18
89 0,003 753 236 0,000 106 136 1 0,017 730 15 0,173 84 0,004 92 0,821 24
390 0,004 243 000 0,000 120 000 0 0,020 050 01 0,173 80 0,004 92 0,821 28
91 0,004 762 389 0,000 134 984 0 0,022 511 36 0,173 76 0,004 92 0,821 32
92 0,005 330 048 0,000 151 492 0 0,025 202 88 0,173 70 0,004 94 0,821 36
93 0,005 978 712 0,000 170 208 0 0,028 279 72 0,173 66 0,004 94 0,821 40
94 0,006 741 117 0,000 191 816 0 0,031 897 04 0,173 61 0,004 94 0,821 45
395 0,007 650 000 0,000 217 000 0 0,036 210 00 0,173 56 0,004 92 0,821 52
96 0,008 751 373 0,000 246 906 7 0,041 437 71 0,173 51 0,004 90 0,821 59
97 0,010 028 88 0,000 281 240 0 0,047 503 72 0,173 47 0,004 86 0,821 67
98 0,011 421 70 0,000 318 520 0 0,054 119 88 0,173 42 0,004 84 0,821 74
99 0,012 869 01 0,000 357 266 7 0,060 998 03 0,173 38 0,004 81 0,821 81
400 0,014 310 00 0,000 396 000 0 0,067 850 01 0,173 34 0,004 80 0,821 86
01 0,015 704 43 0,000 433 714 7 0,074 486 32 0,173 29 0,004 79 0,821 92
02 0,017 147 44 0,000 473 024 0 0,081 361 56 0,173 24 0,004 78 0,821 98
03 0,018 781 22 0,000 517 876 0 0,089 153 64 0,173 17 0,004 78 0,822 05
04 0,020 748 01 0,000 572 218 7 0,098 540 48 0,173 10 0,004 77 0,822 13
405 0,023 190 00 0,000 640 000 0 0,110 200 0 0,173 02 0,004 78 0,822 20
06 0,026 207 36 0,000 724 560 0 0,124 613 3 0,172 93 0,004 78 0,822 29
07 0,029 782 48 0,000 825 500 0 0,141 701 7 0,172 84 0,004 79 0,822 37
08 0,033 880 92 0,000 941 160 0 0,161 303 5 0,172 75 0,004 80 0,822 45
09 0,038 468 24 0,001 069 880 0,183 256 8 0,172 66 0,004 80 0,822 54
410 0,043 510 00 0,001 210 000 0,207 400 0 0,172 58 0,004 80 0,822 62
11 0,048 995 60 0,001 362 091 0,233 692 1 0,172 49 0,004 80 0,822 71
12 0,055 022 60 0,001 530 752 0,262 611 4 0,172 39 0,004 80 0,822 81
