300 0,930 483 0,0341 000
301 0,967 643 0,360 140
302 1,005 97 0,686 180
303 1,045 49 1,012 22
304 1,086 23 1,338 26
305 1,128 21 1,664 30
306 1,171 47 1,990 34
307 1,216 02 2,316 38
308 1,261 88 2,642 42
309 1,309 10 2,968 46
310 1,357 69 3,294 50
311 1,407 68 4,988 65
312 1,459 10 6,682 80
313 1,511 98 8,376 95
314 1,566 33 10,071 1
315 1,622 19 11,765 2
316 1,679 59 13,459 4
317 1,738 55 15,153 5
318 1,799 10 16,847 7
319 1,861 27 18,541 8
320 1,925 08 20,236 0
321 1,990 57 21,917 7
322 2,057 76 23,599 5
323 2,126 67 25,281 2
324 2,197 34 26,963 0
325 2,269 80 28,644 7
326 2,344 06 30,326 5
327 2,420 17 32,008 2
328 2,498 14 33,690 0
329 2,578 01 35,371 7
330 2,659 81 37,053 5
331 2,743 55 37,343 0
332 2,829 28 37,632 6
333 2,917 01 37,922 1
334 3,006 78 38,211 6
335 3,098 61 38,501 1
336 3,192 53 38,790 7
337 3,288 57 39,080 2
338 3,386 76 39,369 7
339 3,487 12 39,659 3
340 3,589 68 39,948 8
341 3,694 47 40,445 1
342 3,801 52 40,941 4
343 3,910 85 41,437 7
344 4,022 50 41,934 0
345 4,136 48 42,430 2
346 4,252 82 42,926 5
347 4,371 56 43,422 8
348 4,492 72 43,919 1
349 4,616 31 44,415 4
350 4,742 38 44,911 7
351 4,870 95 45,084 4
352 5,002 04 45,257 0
353 5,135 68 45,429 7
354 5,271 89 45,602 3
355 5,410 70 45,775 0
356 5,552 13 45,947 7
357 5,696 22 46,120 3
358 5,842 98 46,293 0
359 5,992 44 46,465 6
360 6,144 62 46,638 3
361 6,299 55 47,183 4
362 6,457 24 47,728 5
363 6,617 74 48,273 5
364 6,781 05 48,818 6
365 6,947 20 49,363 7
366 7,116 21 49,908 8
367 7,288 11 50,453 9
368 7,462 92 50,998 9
369 7,640 66 51,544 0
370 7,821 35 52,089 1
371 8,005 01 51,877 7
372 8,191 67 51,666 4
373 8,381 34 51,455 0
374 8,574 04 51,243 7
375 8,769 80 51,032 3
376 8,968 64 50,820 9
377 9,170 56 50,609 6
378 9,375 61 50,398 2
379 9,583 78 50,186 9
380 9,795 10 49,975 5
381 10,009 6 50,442 8
382 10,227 3 50,910 0
383 10,448 1 51,377 3
384 10,672 2 51,844 6
385 10,899 6 52,311 8
386 11,130 2 52,779 1
387 11,364 0 53,246 4
388 11,601 2 53,713 7
389 11,841 6 54,180 9
390 12,085 3 54,648 2
391 12,332 4 57,458 9
392 12,582 8 60,269 5
393 12,836 6 63,080 2
394 13,093 8 65,890 9
395 13,354 3 68,701 5
396 13,618 2 71,512 2
397 13,885 5 74,322 9
398 14,156 3 77,133 6
399 14,430 4 79,944 2
400 14,708 0 82,754 9
401 14,989 1 83,628 0
402 15,273 6 84,501 1
403 15,561 6 85,374 2
404 15,853 0 86,247 3
405 16,148 0 87,120 4
406 16,446 4 87,993 6
407 16,748 4 88,866 7
408 17,053 8 89,739 8
409 17,362 8 90,612 9
410 17,675 3 91,486 0
411 17,991 3 91,680 6
412 18,310 8 91,875 2
413 18,633 9 92,069 7
414 18,960 5 92,264 3
415 19,290 7 92,458 9
416 19,624 4 92,653 5
417 19,961 7 92,848 1
418 20,302 6 93,042 6
419 20,647 0 93,237 2
420 20,995 0 93,431 8
421 21,346 5 92,756 8
422 21,701 6 92,081 9
423 22,060 3 91,406 9
424 22,422 5 90,732 0
